solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_102_2,(Intercept),799392.885147193,73544145.4335418,0.44548223060427,799392.885147193,0.206497996935393,73544145.4335418,0.44548223060427,799392.885147193,0.206497996935393,TRUE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,competitor_sales_B,0.225640743720497,110443215.938012,0.668992615267176,1200469.73845665,0.310103581078544,110443215.938012,0.668992615267176,1200469.73845665,0.310103581078544,TRUE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,events,1.04872131968052,1267734.02481093,0.00767910182185803,1267734.02481093,0.327479192815306,1267734.02481093,0.00767910182185803,1267734.02481093,0.327479192815306,TRUE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,facebook_I,0,0,0,0,0,0,0,0,0,TRUE,0.181827675117088,0,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,5988890.41190929,136111.145725211,0.181827675117088,0,0,0,Inf,0,0
1_102_2,holiday,1.23947205742009,5570580.16099894,0.0337429235359625,348161.260062434,0.0899365057523087,5570580.16099894,0.0337429235359625,348161.260062434,0.0899365057523087,TRUE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,newsletter,258614.372657109,4591317.94365659,0.0278111948530537,49905.6298223542,0.0128915490562789,4591317.94365659,0.0278111948530537,49905.6298223542,0.0128915490562789,TRUE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,ooh_S,277337.22906209,7665652.41995179,0.0464334981247832,83322.3089125194,0.0215236965579187,7665652.41995179,0.0464334981247832,83322.3089125194,0.0215236965579187,TRUE,0.310911157955088,0.374738667063883,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,10240536,262577.846153846,0.310911157955088,0.374738667063883,0.436495258836483,0.748559686714815,1.33589881708521,114613.984921649,0.159250138007337
1_102_2,print_S,228519.98627764,5047376.70180067,0.0305736998990635,54862.7902369638,0.0141720754596579,5047376.70180067,0.0305736998990635,54862.7902369638,0.0141720754596579,TRUE,0.0848043521333921,0.246743149021356,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,2793216,77589.3333333333,0.0848043521333921,0.246743149021356,1.53985380484714,1.80701266991191,0.553399550900077,119476.230148886,1.71623642717896
1_102_2,search_clicks_P,0,0,0,0,0,0,0,0,0,TRUE,0.111321014032676,0,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,3666600,47618.1818181818,0.111321014032676,0,0,0,Inf,0,0
1_102_2,season,0.192058138684425,-1547603.44052966,-0.0093743673097813,-16821.7765274963,-0.00434537662564159,-1547603.44052966,-0.0093743673097813,-16821.7765274963,-0.00434537662564159,FALSE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,trend,-0.177901151164715,-49236543.7145443,-0.298242711121316,0,0,-49236543.7145443,-0.298242711121316,0,0,FALSE,,,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,,,,,,,,,
1_102_2,tv_S,287763.227783347,7742966.19896794,0.0469018143249311,84162.6760757385,0.0217407789702335,7742966.19896794,0.0469018143249311,84162.6760757385,0.0217407789702335,TRUE,0.311135800761756,0.378518183914761,0,0.0565022463783573,0.28335875144361,0.938779625647467,1654.98085658389,1654.98085658389,660472486.367721,1,1,1,1,1,1,10247935.1,256198.3775,0.311135800761756,0.378518183914761,0.133272722110998,0.755563547525583,1.3235154121383,34144.255169846,0.289129013093771
